SERIES,TS,Y,FORECAST,LOWER_BOUND,UPPER_BOUND,IS_ANOMALY,PERCENTILE,DISTANCE
,2023-12-12,79056.07,81301.84090641,22912.135154646,139691.546658174,False,0.4605409761,-0.099070931
,2023-12-13,66788.09,108619.335344804,50229.62959304,167009.041096568,False,0.03249244431,-1.845362058
,2023-12-14,74093.0,55986.835016693,-2402.870735071,114376.540768457,False,0.7877803833,0.7987433699
,2023-12-15,102600.71,90381.399904382,31991.694152618,148771.105656146,False,0.7050731499,0.5390480498
,2023-12-16,77025.59,111332.420677888,52942.714926124,169722.126429652,False,0.06508565339,-1.513426701
,2023-12-17,53394.24,85014.272590925,26624.566839161,143403.978342689,False,0.08152298314,-1.394900102
,2023-12-18,147601.23,54096.061187914,-4293.64456385,112485.766939678,True,0.9999814575,4.124928372
,2023-12-19,94054.1,90361.214333375,31971.508581611,148750.920085139,False,0.5647051906,0.1629095916
,2023-12-20,77806.67,121970.902165982,63581.196414218,180360.607917746,False,0.02569070633,-1.94828047
,2023-12-21,82855.86,69500.81173745,11111.105985686,127890.517489214,False,0.7221198422,0.5891505056
,2023-12-22,98815.87,69884.850995263,11495.145243499,128274.556747027,False,0.8990709734,1.276275768
,2023-12-23,94092.21,122967.846379995,64578.140628232,181357.552131759,False,0.1013613756,-1.273832594
,2023-12-24,125301.93,109321.470329585,50931.764577821,167711.176081349,False,0.7595852563,0.7049690656
,2023-12-25,86774.11,57660.214887957,-729.490863807,116049.920639721,False,0.9004890591,1.284343245
,2023-12-26,124122.94,95915.959656345,37526.253904581,154305.665408109,False,0.8933118905,1.244335206
,2023-12-27,77315.47,126165.711742457,67776.005990693,184555.417494221,False,0.01558087136,-2.155001169
,2023-12-28,109127.12,73271.426720228,14881.720968464,131661.132471992,False,0.9431471199,1.581753911
,2023-12-29,117371.94,79973.3246571,21583.618905336,138363.030408864,False,0.9505100251,1.649819058
,2023-12-30,109961.36,117853.661281127,59463.955529363,176243.367032891,False,0.3638583349,-0.3481644692
,2023-12-31,110997.1,106726.995716281,48337.289964517,165116.701468045,False,0.5747079736,0.1883732689
,2024-01-01,83169.34,74168.083550626,15778.377798862,132557.78930239,False,0.65434776,0.397085408
,2024-01-02,54562.78,79091.269409202,20701.563657438,137480.975160966,False,0.1396127941,-1.08206063
,2024-01-03,117665.8,139027.845611182,80638.139859418,197417.551362946,False,0.1730004106,-0.9423747279
,2024-01-04,103099.02,65488.296163398,7098.590411634,123878.001915162,False,0.9514598445,1.659176105
,2024-01-05,119479.92,68020.952376912,9631.246625148,126410.658128676,False,0.9883987461,2.270083656
,2024-01-06,124419.41,109813.17122084,51423.465469076,168202.876972604,False,0.7403244787,0.6443460774
,2024-01-07,94469.36,113067.49240883,54677.786657066,171457.198160594,False,0.2059808827,-0.8204462385
,2024-01-08,71641.16,96745.204602219,38355.498850455,155134.910353983,False,0.1340495091,-1.107450926
,2024-01-09,87182.59,90986.770222316,32597.064470552,149376.47597408,False,0.4333627237,-0.1678192888
